p,d,q,P,D,Q,s,n_params,nobs,aic,bic,hqic,converged,seconds,error
5,0,2,1,1,1,24,10,2929,32180.025484270875,32245.722610446595,32203.69734913009,True,12.63793396949768,
5,0,3,1,1,1,24,11,2929,32174.398646910755,32246.06823910245,32200.22249948444,False,25.778106689453125,
5,0,4,1,1,1,24,12,2929,32174.03112598144,32251.67318418911,32202.0069662696,False,29.842314958572388,
5,0,5,1,1,1,24,13,2929,32163.23471465586,32246.844410460762,32193.361331358712,False,41.38591408729553,
5,0,6,1,1,1,24,14,2929,32154.146448657113,32243.723090500323,32186.423668227893,False,34.58692002296448,
5,1,0,1,1,1,24,7,2928,32426.441681291588,32474.21865032296,32443.656890836075,True,4.892938137054443,
5,1,1,1,1,1,24,8,2928,32179.661150260312,32233.410240420606,32199.028260997857,True,14.89559531211853,
5,1,2,1,1,1,24,9,2928,32180.86106084975,32240.582272138967,32202.380072780357,True,14.825948238372803,
5,1,3,1,1,1,24,10,2928,32182.932026451243,32248.62535886938,32206.60293957491,False,28.93229579925537,
5,1,4,1,1,1,24,11,2928,32186.210832012228,32257.876285559287,32212.033646328957,True,21.896541118621826,
5,1,5,1,1,1,24,12,2928,32174.958609173926,32252.591698771375,32202.932199468603,True,26.359573364257812,
5,1,6,1,1,1,24,13,2928,32168.23982229383,32251.8398562626,32198.364014985753,True,22.82679772377014,
5,2,0,1,1,1,24,7,2927,33222.08981683258,33269.86402581562,33239.304333937,True,8.893004417419434,
5,2,1,1,1,1,24,8,2927,32431.864001531347,32485.60998663727,32451.230333273816,True,10.869211912155151,
5,2,2,1,1,1,24,9,2927,32207.53878575937,32267.256546988177,32229.05693213989,False,31.01483678817749,
5,2,3,1,1,1,24,10,2927,32276.712267941777,32342.401805293463,32300.38222896035,False,26.551642417907715,
5,2,4,1,1,1,24,11,2927,32471.962510706067,32543.623824180635,32497.784286362694,False,22.437742233276367,
5,2,5,1,1,1,24,12,2927,32377.4309604773,32455.059563448303,32405.403425119803,False,42.022170305252075,
5,2,6,1,1,1,24,13,2927,32429.226166204044,32512.821366753124,32459.34914618413,False,36.92412495613098,
6,0,0,1,1,1,24,9,2929,32167.569473754254,32227.29068504347,32189.08848568486,True,7.3965020179748535,
6,0,1,1,1,1,24,10,2929,32169.241772455374,32234.93510487351,32192.912685579042,True,17.39888310432434,
6,0,2,1,1,1,24,11,2929,32171.55327688119,32243.21873042825,32197.37609119792,True,14.713372707366943,
6,0,3,1,1,1,24,12,2929,32173.931189822302,32251.568764498283,32201.905905332093,True,16.138847589492798,
6,0,4,1,1,1,24,13,2929,32163.014263543984,32246.623959348886,32193.140880246836,False,29.1533420085907,
6,0,5,1,1,1,24,14,2929,32170.047727331472,32259.629544265295,32202.32624522738,False,30.35185980796814,
6,0,6,1,1,1,24,15,2929,32156.21843999264,32251.76685795873,32190.647474201473,False,32.72771668434143,
6,1,0,1,1,1,24,8,2928,32398.36208186695,32452.108066972876,32417.72841360942,True,6.907052278518677,
6,1,1,1,1,1,24,9,2928,32171.210115765603,32230.92787699441,32192.728262146124,True,17.062410831451416,
6,1,2,1,1,1,24,10,2928,32172.78702628916,32238.476563640845,32196.45698730773,True,14.863794565200806,
6,1,3,1,1,1,24,11,2928,32174.600949943495,32246.262263418063,32200.42272560012,False,29.38673424720764,
6,1,4,1,1,1,24,12,2928,32175.599170637935,32253.232260235385,32203.572760932613,False,25.9138765335083,
6,1,5,1,1,1,24,13,2928,32177.830127749774,32261.434993470102,32207.955532682503,False,28.956813097000122,
6,1,6,1,1,1,24,14,2928,32169.336820312332,32258.90828527887,32201.61274105368,False,31.67786955833435,
6,2,0,1,1,1,24,8,2927,33090.69413849954,33144.43701747946,33110.05969094435,True,6.25942850112915,
6,2,1,1,1,1,24,9,2927,32403.82182270065,32463.536132678346,32425.33910319488,True,13.775098085403442,
6,2,2,1,1,1,24,10,2927,32244.361104445037,32310.0468454205,32268.03011298869,False,45.23740530014038,
6,2,3,1,1,1,24,11,2927,32209.22412874355,32280.88130071678,32235.04486533663,False,31.160470724105835,
6,2,4,1,1,1,24,12,2927,32446.30279280015,32523.931395771153,32474.275257442652,False,27.627575874328613,
6,2,5,1,1,1,24,13,2927,32427.846298981738,32511.44633295051,32457.970491673663,False,29.709085941314697,
6,2,6,1,1,1,24,14,2927,32405.558572534283,32495.124858836865,32437.83319394152,False,34.45633888244629,
